Header,Value,Notes
asset_id,827b8706-8d86-47e0-a222-a1d072a46194,
name_primary,VEN_Stock_02,
name_display,,
name_historical,VEN_Stock_02,
author_name,Eben Kling,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
