Header,Value,Notes
asset_id,21df66a0-8b5d-4317-8fc2-697c65b83ea2,
name_primary,Stairs_01,
name_display,Stairs,
name_historical,Stairs_01,
author_name,Mitchell Palczewski,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
