Header,Value,Notes
asset_id,aa06d87f-6b5e-4b43-b30a-ccfee4880a0f,
name_primary,AJ_06,
name_display,,
name_historical,AJ_06,
author_name,Aude Jomini,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
