Header,Value,Notes
asset_id,7c4c7d53-77d5-489f-9962-d4fd030cc48b,
name_primary,AJ_01,
name_display,Brachium Half,
name_historical,AJ_01,
author_name,Aude Jomini,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
project_pile,,
