Header,Value,Notes
asset_id,8f12dacd-c951-484b-a6f6-e1ae6abbf0cc,
name_primary,Madallion_01,
name_display,Madallion,
name_historical,Madallion_01,
author_name,Eben Kling,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
