Header,Value,Notes
asset_id,e8929b07-7df1-4692-a0c8-e104b8896509,
name_primary,Spire_Stock_01,
name_display,Spire,
name_historical,Spire_Stock_01,
author_name,Eben Kling,
license_type,CC-BY 4.0,
poly_tris,,
lod_levels,,
unit_scale,Meters,
tags,,
project_pile,,
